Posted On,BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Unnamed: 12,phone number,Floor Number,Total Floors
2022-06-12,2,85000,750,carpet area,"hiranandani atlantis, hiranandani gardens",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,11,27.0
2022-06-12,1,26000,450,carpet area,goregaon west,mumbai,unfurnished,bachelors,2,contact agent,,6360088226,6,10.0
2022-04-29,1,33000,640,super area,bhandup west,mumbai,furnished,bachelors/family,2,contact owner,,6360088226,11,23.0
2022-07-08,3,180000,1190,carpet area,"l nagpal ruby, turner road",mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,5,12.0
2022-06-23,3,70000,850,super area,chembur,mumbai,unfurnished,bachelors,3,contact agent,,6360088226,5,8.0
2022-07-07,1,17000,330,carpet area,jankalyan nagar,mumbai,semi-furnished,bachelors/family,1,contact agent,,6360088226,0,7.0
2022-05-13,2,37000,685,carpet area,mulund west,mumbai,semi-furnished,bachelors,2,contact agent,,6360088226,10,18.0
2022-06-12,1,27000,400,carpet area,goregaon west,mumbai,unfurnished,bachelors,2,contact agent,,6360088226,6,10.0
2022-06-15,1,35500,500,carpet area,"mayfair sonata greens, park site colony",mumbai,furnished,bachelors/family,2,contact agent,,6360088226,8,13.0
2022-05-24,1,24000,550,carpet area,mulund west,mumbai,unfurnished,bachelors,1,contact agent,,6360088226,2,4.0
2022-06-11,4,250000,2500,carpet area,juhu,mumbai,unfurnished,bachelors/family,4,contact agent,,6360088226,2,8.0
2022-05-14,3,180000,1100,carpet area,jvpd scheme,mumbai,furnished,family,3,contact agent,,6360088226,6,15.0
2022-05-31,2,18500,650,carpet area,"swayam apartment, poonam gardens",mumbai,unfurnished,family,2,contact agent,,6360088226,3,12.0
2022-07-09,3,200000,1400,carpet area,"hill road, bandra west",mumbai,furnished,bachelors/family,3,contact agent,,6360088226,8,17.0
2022-07-04,2,70000,1050,carpet area,"godrej prime, chembur",mumbai,furnished,bachelors/family,2,contact agent,,6360088226,14,15.0
2022-06-04,3,55000,850,carpet area,goregaon west,mumbai,unfurnished,bachelors,3,contact agent,,6360088226,6,7.0
2022-05-23,1,24000,550,carpet area,ghatkopar west,mumbai,unfurnished,bachelors,1,contact agent,,6360088226,0,4.0
2022-06-23,2,55000,750,carpet area,chandivali,mumbai,furnished,bachelors/family,2,contact agent,,6360088226,5,8.0
2022-07-09,3,150000,1350,carpet area,"kalpataru antariksha, prabhadevi",mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,23,25.0
2022-06-25,2,50000,800,carpet area,santacruz east,mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,5,8.0
2022-07-06,4,300000,2650,carpet area,"lodha bellissimo, mahalakshmi",mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,14,48.0
2022-07-06,3,90100,975,carpet area,goregaon east,mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,29,35.0
2022-06-16,3,57000,1325,carpet area,"raheja exotica sorento, madh",mumbai,furnished,bachelors/family,4,contact agent,,6360088226,15,36.0
2022-04-29,2,40000,700,super area,andheri west,mumbai,semi-furnished,bachelors/family,2,contact owner,,6360088226,3,6.0
2022-07-09,2,80000,700,carpet area,hindu colony,mumbai,furnished,family,2,contact agent,,6360088226,3,8.0
2022-06-23,2,95000,850,carpet area,powai,mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,15,25.0
2022-06-22,1,14000,305,carpet area,ekta nagar,mumbai,unfurnished,bachelors,1,contact agent,,6360088226,10,24.0
2022-06-14,2,50000,850,carpet area,"dsk madhuban, sakinaka junction",mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,8,10.0
2022-06-14,2,43000,724,carpet area,"akruti orchid park, sakinaka junction",mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,6,11.0
2022-06-12,2,55000,650,carpet area,andheri west,mumbai,furnished,bachelors,2,contact agent,,6360088226,8,16.0
2022-06-16,2,35000,650,carpet area,nahur gaothan,mumbai,unfurnished,family,2,contact agent,,6360088226,5,7.0
2022-06-15,2,33000,700,carpet area,"acme avenue, kandivali west",mumbai,unfurnished,bachelors,2,contact agent,,6360088226,15,28.0
2022-05-26,2,47000,785,carpet area,jb nagar,mumbai,furnished,bachelors/family,2,contact agent,,6360088226,4,7.0
2022-06-27,3,75000,1250,carpet area,"laksharia tower, andheri west",mumbai,semi-furnished,family,3,contact agent,,6360088226,15,20.0
2022-07-07,4,45000,1016,carpet area,"oasis, lokhandwala twp",mumbai,unfurnished,bachelors/family,3,contact agent,,6360088226,3,36.0
2022-05-28,1,36000,380,carpet area,mazgaon,mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,12,20.0
2022-05-14,1,40000,475,carpet area,"sanghvi evana, worli",mumbai,unfurnished,bachelors,1,contact agent,,6360088226,18,23.0
2022-07-03,1,40000,444,carpet area,sakinaka junction,mumbai,unfurnished,bachelors,2,contact agent,,6360088226,8,11.0
2022-06-20,2,32000,640,carpet area,"gsa grandeur, gokuldham",mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,6,20.0
2022-06-02,1,17000,320,carpet area,"midas pmgp mhada colony, pmgp colony",mumbai,unfurnished,bachelors/family,1,contact owner,,6360088226,23,23.0
2022-05-13,3,77000,1100,carpet area,"auris serenity, adarsh nagar",mumbai,unfurnished,bachelors/family,4,contact agent,,6360088226,16,21.0
2022-06-16,4,290000,1500,carpet area,"benchmark solus, waterfield road",mumbai,furnished,bachelors/family,3,contact agent,,6360088226,5,15.0
2022-05-18,2,35000,650,carpet area,"evershine millenium paradise, thakur village, kandivali east",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,6,8.0
2022-05-19,1,40000,508,carpet area,"kanakia sevens, marol maroshi road",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,16,18.0
2022-07-09,4,250000,2500,carpet area,jvpd scheme,mumbai,furnished,bachelors/family,4,contact agent,,6360088226,2,10.0
2022-05-22,2,47000,720,carpet area,chembur,mumbai,unfurnished,bachelors,2,contact agent,,6360088226,-1,16.0
2022-04-29,2,50000,750,super area,d.n. nagar,mumbai,unfurnished,bachelors/family,2,contact owner,,6360088226,0,5.0
2022-06-27,1,32000,430,carpet area,"sion east, sion koliwada",mumbai,unfurnished,family,1,contact agent,,6360088226,2,3.0
2022-06-20,2,8000,623,carpet area,"shreenath nagar, morya nagar",mumbai,unfurnished,family,2,contact agent,,6360088226,6,7.0
2022-07-09,3,240000,1358,carpet area,"lodha kiara, worli hill",mumbai,semi-furnished,family,4,contact agent,,6360088226,40,50.0
2022-07-07,3,85000,1000,carpet area,"lodha eternis, chakala midc",mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,4,11.0
2022-06-28,3,65000,1100,carpet area,"sejal tower, goregaon west",mumbai,unfurnished,bachelors,3,contact agent,,6360088226,25,28.0
2022-07-03,3,75000,1255,carpet area,bhakti park,mumbai,furnished,bachelors/family,3,contact owner,,6360088226,12,17.0
2022-05-27,1,26500,450,carpet area,"vasant sagar, thakur village, kandivali east",mumbai,furnished,family,2,contact agent,,6360088226,5,8.0
2022-06-16,2,45000,650,carpet area,"akruti aneri, marol",mumbai,furnished,bachelors/family,2,contact agent,,6360088226,3,7.0
2022-07-06,2,95000,955,carpet area,"lodha new cuffe parade, bhakti park",mumbai,semi-furnished,bachelors,2,contact agent,,6360088226,34,40.0
2022-05-22,2,38000,700,carpet area,"altavista, chembur",mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,-1,22.0
2022-07-06,3,260000,1915,super area,"ashford casa grande, lower parel",mumbai,semi-furnished,family,4,contact agent,,6360088226,8,23.0
2022-06-03,4,300000,2308,carpet area,"windsor grande residences, andheri west",mumbai,semi-furnished,bachelors/family,6,contact agent,,6360088226,9,31.0
2022-07-09,3,180000,1250,carpet area,"ekta trinity, santacruz west",mumbai,semi-furnished,family,3,contact agent,,6360088226,11,13.0
2022-06-04,2,40000,625,carpet area,"kailash tower, powai",mumbai,semi-furnished,bachelors,2,contact agent,,6360088226,6,14.0
2022-05-17,4,300000,2200,carpet area,jvpd scheme,mumbai,furnished,family,4,contact agent,,6360088226,7,8.0
2022-06-20,2,85000,870,carpet area,"royal residency, lal baug",mumbai,furnished,bachelors/family,2,contact agent,,6360088226,5,21.0
2022-06-04,3,110000,1300,carpet area,kalina,mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,4,12.0
2022-06-23,2,40000,750,carpet area,"techno park i, kandivali east",mumbai,unfurnished,family,2,contact agent,,6360088226,2,8.0
2022-07-06,2,45000,750,super area,andheri east,mumbai,furnished,bachelors,2,contact owner,,6360088226,2,8.0
2022-06-04,2,52000,550,carpet area,kalina,mumbai,furnished,bachelors/family,2,contact agent,,6360088226,3,9.0
2022-07-06,4,90000,1250,carpet area,andheri west,mumbai,furnished,family,4,contact agent,,6360088226,2,7.0
2022-07-09,3,140000,1400,carpet area,"insignia, bandra kurla complex",mumbai,semi-furnished,family,3,contact agent,,6360088226,11,13.0
2022-06-23,3,150000,1330,carpet area,"oberoi esquire, goregaon east",mumbai,semi-furnished,family,4,contact agent,,6360088226,32,59.0
2022-06-23,3,65000,1000,carpet area,chembur,mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,5,10.0
2022-05-31,2,50000,770,carpet area,"sufalam chs, chembur east",mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,4,14.0
2022-06-16,2,54000,800,carpet area,"shimpla vighnaharta chs, seven bungalows",mumbai,unfurnished,family,2,contact agent,,6360088226,3,7.0
2022-05-29,4,180000,1691,carpet area,"oberoi prisma, agarkar chowk",mumbai,semi-furnished,bachelors/family,6,contact agent,,6360088226,20,32.0
2022-05-14,1,60000,550,carpet area,"neumec elegance, lower parel",mumbai,furnished,bachelors,2,contact agent,,6360088226,12,20.0
2022-07-09,2,65000,800,carpet area,andheri west,mumbai,unfurnished,family,2,contact agent,,6360088226,10,14.0
2022-07-09,2,35000,615,carpet area,"aspire, thakur village, kandivali east",mumbai,unfurnished,family,2,contact agent,,6360088226,6,14.0
2022-06-25,2,43000,663,carpet area,"wadhwa atmosphere, mulund west",mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,25,43.0
2022-06-16,1,20000,400,carpet area,bhandup,mumbai,semi-furnished,bachelors/family,1,contact owner,,6360088226,3,4.0
2022-06-04,2,57000,625,carpet area,"panch complex, powai",mumbai,furnished,bachelors,2,contact agent,,6360088226,9,18.0
2022-06-16,4,130000,1432,carpet area,"sabari ashville, chembur east",mumbai,unfurnished,bachelors/family,3,contact agent,,6360088226,12,20.0
2022-05-24,1,25000,425,carpet area,mulund west,mumbai,unfurnished,bachelors,1,contact agent,,6360088226,3,5.0
2022-06-12,2,56000,649,carpet area,"promenade at the address, ghatkopar west",mumbai,semi-furnished,bachelors,2,contact agent,,6360088226,5,22.0
2022-05-14,2,55000,905,carpet area,"sunteck city avenue 1, goregaon west",mumbai,unfurnished,bachelors,2,contact agent,,6360088226,10,37.0
2022-04-27,2,18000,882,super area,"db ozone, mira road",mumbai,unfurnished,bachelors,2,contact owner,,6360088226,10,22.0
2022-06-27,3,100000,1200,carpet area,"salvation chs, dadar west",mumbai,furnished,bachelors/family,3,contact agent,,6360088226,4,15.0
2022-05-31,2,76000,736,carpet area,"rustomjee elanza, mindspace",mumbai,unfurnished,family,2,contact agent,,6360088226,16,36.0
2022-07-09,3,270000,1710,carpet area,"lodha bellissimo, mahalakshmi",mumbai,furnished,bachelors/family,3,contact agent,,6360088226,25,48.0
2022-06-24,1,45000,225,carpet area,"simla house at nepeasea road, napean sea road",mumbai,unfurnished,bachelors,1,contact owner,,6360088226,3,6.0
2022-05-22,2,39000,720,carpet area,"altavista, chembur",mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,-1,22.0
2022-06-07,1,12500,555,super area,"hubtown gardenia, mira road",mumbai,unfurnished,bachelors,1,contact owner,,6360088226,6,7.0
2022-07-07,1,35000,415,super area,andheri east,mumbai,unfurnished,bachelors/family,1,contact owner,,6360088226,2,7.0
2022-06-12,2,55000,649,carpet area,"promenade at the address, ghatkopar west",mumbai,semi-furnished,bachelors,2,contact agent,,6360088226,4,22.0
2022-06-15,3,90000,1000,carpet area,vile parle west,mumbai,furnished,bachelors,2,contact agent,,6360088226,3,3.0
2022-06-04,2,250000,1300,carpet area,khar west,mumbai,furnished,bachelors/family,2,contact agent,,6360088226,-1,10.0
2022-06-24,2,25000,1065,super area,"gaurav excellency, mira road",mumbai,furnished,bachelors/family,2,contact owner,,6360088226,15,15.0
2022-07-08,2,90000,854,carpet area,"kanakia paris, bandra kurla complex",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,15,20.0
2022-06-27,3,120000,1200,carpet area,"salvation chs, dadar west",mumbai,furnished,bachelors/family,3,contact agent,,6360088226,5,14.0
2022-06-06,1,55000,500,carpet area,hiranandani gardens,mumbai,unfurnished,bachelors,1,contact agent,,6360088226,8,18.0
2022-05-31,3,70000,906,carpet area,"sanjona gulmarg towers, chembur east",mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,7,10.0
2022-06-22,3,300000,1800,carpet area,bandra west,mumbai,furnished,bachelors/family,4,contact agent,,6360088226,11,11.0
2022-05-26,2,25000,500,carpet area,new devchhaya building,mumbai,furnished,bachelors/family,1,contact owner,,6360088226,1,3.0
2022-06-16,1,35000,450,super area,goregaon west,mumbai,unfurnished,bachelors/family,1,contact owner,,6360088226,2,7.0
2022-07-09,3,120000,1130,carpet area,bandra west,mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,3,7.0
2022-06-04,1,27000,495,super area,andheri east,mumbai,furnished,bachelors/family,2,contact owner,,6360088226,5,7.0
2022-05-19,1,25000,407,super area,devi pada,mumbai,unfurnished,bachelors/family,2,contact owner,,6360088226,5,23.0
2022-06-16,3,150000,1092,carpet area,"lodha the park, worli",mumbai,semi-furnished,family,3,contact agent,,6360088226,60,77.0
2022-07-07,2,32000,610,carpet area,"the windsor, kandivali east",mumbai,unfurnished,family,2,contact agent,,6360088226,11,18.0
2022-07-07,1,40000,500,super area,"manavsthal, andheri east",mumbai,furnished,bachelors/family,2,contact owner,,6360088226,13,14.0
2022-05-31,2,52000,750,carpet area,"vanamali chs ghatla, ghatla",mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,4,20.0
2022-06-18,2,80000,750,carpet area,"lokhandwala residency, worli",mumbai,furnished,bachelors,2,contact agent,,6360088226,6,16.0
2022-06-23,2,55000,850,carpet area,"adityavardhan apartment, raheja vihar",mumbai,furnished,bachelors/family,2,contact agent,,6360088226,6,10.0
2022-06-04,1,30000,350,carpet area,prabhadevi,mumbai,unfurnished,bachelors/family,1,contact agent,,6360088226,5,16.0
2022-06-04,1,20000,300,carpet area,"sundar nagar, kalina",mumbai,semi-furnished,bachelors/family,1,contact agent,,6360088226,2,12.0
2022-05-23,1,85000,695,carpet area,union park,mumbai,furnished,bachelors/family,2,contact agent,,6360088226,2,7.0
2022-06-16,1,40000,415,carpet area,"kanakia rainforest, andheri east",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,15,22.0
2022-06-25,1,21000,450,carpet area,bhandup village,mumbai,unfurnished,bachelors,2,contact agent,,6360088226,3,13.0
2022-06-23,3,43000,850,carpet area,"aspire, kandivali east",mumbai,unfurnished,family,3,contact agent,,6360088226,8,14.0
2022-05-11,2,58000,805,carpet area,"auris serenity, link road",mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,30,58.0
2022-07-06,2,130000,700,carpet area,bandra west,mumbai,furnished,bachelors/family,2,contact agent,,6360088226,7,10.0
2022-04-13,3,260000,1800,carpet area,jvpd scheme,mumbai,furnished,family,4,contact agent,,6360088226,10,11.0
2022-06-27,2,46000,669,carpet area,"tulip at runwal forests, kanjurmarg west",mumbai,unfurnished,bachelors,2,contact agent,,6360088226,15,43.0
2022-06-23,1,6500,325,carpet area,"unicorn global arena, naigaon east",mumbai,unfurnished,family,1,contact agent,,6360088226,7,16.0
2022-05-31,1,21000,600,super area,sher e punjab society,mumbai,furnished,bachelors/family,1,contact owner,,6360088226,5,6.0
2022-05-22,2,46000,725,carpet area,chembur,mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,-1,16.0
2022-06-03,2,60000,750,carpet area,"green woods chkala, andheri east",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,5,9.0
2022-06-29,3,65000,1050,carpet area,"hillcrest, andheri east",mumbai,semi-furnished,bachelors,3,contact agent,,6360088226,13,21.0
2022-05-19,2,15000,600,carpet area,shilphata,mumbai,unfurnished,bachelors/family,2,contact owner,,6360088226,18,28.0
2022-06-28,2,130000,1000,carpet area,bandra west,mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,10,13.0
2022-07-04,3,90000,1110,carpet area,"omkar alta monte, kurar village",mumbai,furnished,bachelors/family,3,contact agent,,6360088226,9,55.0
2022-07-09,2,62000,650,carpet area,jacob circle,mumbai,unfurnished,family,2,contact agent,,6360088226,11,25.0
2022-06-08,3,160000,1100,carpet area,santacruz west,mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,8,10.0
2022-06-23,3,80000,1100,carpet area,"godrej central, chembur",mumbai,unfurnished,bachelors/family,3,contact agent,,6360088226,15,28.0
2022-07-04,3,80000,1110,carpet area,"omkar alta monte, kurar village",mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,49,55.0
2022-06-28,3,55000,999,carpet area,"orchid residency, link road",mumbai,semi-furnished,family,2,contact agent,,6360088226,14,23.0
2022-06-22,3,100000,1000,carpet area,santacruz west,mumbai,furnished,bachelors/family,3,contact agent,,6360088226,2,4.0
2022-07-09,4,200000,2200,carpet area,seven bungalows,mumbai,semi-furnished,bachelors/family,5,contact agent,,6360088226,11,20.0
2022-06-02,3,100000,1256,carpet area,"satyam springs, deonar",mumbai,furnished,family,3,contact agent,,6360088226,10,22.0
2022-07-06,2,79500,750,carpet area,"hiranandani castle rock, hiranandani gardens",mumbai,semi-furnished,family,2,contact agent,,6360088226,17,20.0
2022-07-06,3,84500,889,carpet area,"oberoi splendor, jvlr-jogeshwari vikhroli link road",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,7,27.0
2022-06-12,2,100000,750,carpet area,"hiranandani atlantis, hiranandani gardens",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,14,27.0
2022-05-17,1,13000,385,carpet area,"aims sea view, indralok",mumbai,unfurnished,family,1,contact agent,,6360088226,6,20.0
2022-06-16,4,100000,1454,carpet area,"diamond garden, chembur east",mumbai,unfurnished,bachelors/family,4,contact agent,,6360088226,5,7.0
2022-07-06,1,35000,480,carpet area,seven bungalows,mumbai,semi-furnished,family,2,contact agent,,6360088226,1,7.0
2022-05-23,2,72000,660,carpet area,"hiranandani castle rock, hiranandani gardens",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,12,22.0
2022-06-22,3,180000,1600,carpet area,bandra west,mumbai,furnished,bachelors/family,3,contact agent,,6360088226,9,16.0
2022-07-06,1,26000,434,carpet area,"samarth srishti, bhandup west",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,5,22.0
2022-05-31,3,72000,1121,carpet area,"hari kunj ii, sindhi society chembur",mumbai,unfurnished,bachelors/family,3,contact agent,,6360088226,7,14.0
2022-06-28,1,8000,620,super area,virar,mumbai,semi-furnished,bachelors/family,2,contact owner,,6360088226,6,8.0
2022-07-07,3,130000,937,carpet area,"runwal elegante, andheri west",mumbai,furnished,family,2,contact agent,,6360088226,16,27.0
2022-06-12,1,52000,470,carpet area,"godrej the trees, vikhroli east",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,6,7.0
2022-06-12,1,13000,410,carpet area,mira road east,mumbai,unfurnished,family,1,contact agent,,6360088226,2,7.0
2022-06-16,3,45000,850,carpet area,mulund west,mumbai,unfurnished,family,3,contact agent,,6360088226,5,7.0
2022-07-09,3,180000,1500,carpet area,"purushottam towers, dadar west",mumbai,furnished,bachelors/family,4,contact agent,,6360088226,15,20.0
2022-07-09,2,63000,888,carpet area,"shapoorji pallonji vicinia, chandivali",mumbai,furnished,bachelors/family,2,contact agent,,6360088226,12,20.0
2022-06-28,1,7500,380,carpet area,sunanda circal,mumbai,unfurnished,bachelors,2,contact owner,,6360088226,3,7.0
2022-07-06,1,30000,360,carpet area,"antop hill, wadala",mumbai,unfurnished,bachelors/family,1,contact agent,,6360088226,4,20.0
2022-07-07,1,28500,565,super area,kandivali east,mumbai,furnished,bachelors/family,2,contact owner,,6360088226,1,8.0
2022-07-07,3,100000,2000,super area,"auris serenity, malad west",mumbai,semi-furnished,bachelors/family,4,contact agent,,6360088226,25,50.0
2022-06-23,4,270000,1358,carpet area,"lodha kiara, worli hill",mumbai,semi-furnished,family,4,contact agent,,6360088226,25,50.0
2022-07-09,2,38000,661,carpet area,"runwal forests, kanjurmarg west",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,17,36.0
2022-07-06,1,26000,450,carpet area,"ratan silicon park, jankalyan nagar",mumbai,unfurnished,family,2,contact agent,,6360088226,9,20.0
2022-05-14,3,70000,1300,carpet area,goregaon west,mumbai,unfurnished,bachelors,3,contact agent,,6360088226,6,30.0
2022-06-04,2,41000,600,carpet area,"vasant oscar, mulund west",mumbai,furnished,family,2,contact agent,,6360088226,4,8.0
2022-04-27,2,27000,900,super area,mahatama gandhi road,mumbai,semi-furnished,bachelors/family,3,contact owner,,6360088226,0,4.0
2022-06-30,1,53000,379,carpet area,"hiranandani regent hill, powai",mumbai,semi-furnished,bachelors,1,contact agent,,6360088226,21,23.0
2022-05-18,2,65000,805,carpet area,"auris serenity, kanch pada",mumbai,semi-furnished,family,3,contact agent,,6360088226,8,58.0
2022-05-14,1,85000,650,super area,malabar hill,mumbai,furnished,bachelors/family,2,contact owner,,6360088226,3,8.0
2022-04-28,1,6000,500,super area,naigaon east,mumbai,semi-furnished,bachelors/family,2,contact owner,,6360088226,8,10.0
2022-06-20,1,43000,480,carpet area,seven bungalows,mumbai,furnished,family,2,contact agent,,6360088226,5,7.0
2022-06-23,2,65000,550,super area,"dr babasaheb ambedkar road, mumbai",mumbai,semi-furnished,bachelors/family,2,contact owner,,6360088226,1,7.0
2022-06-08,3,280000,1600,carpet area,bandra west,mumbai,furnished,bachelors/family,3,contact agent,,6360088226,5,12.0
2022-06-28,3,98000,1400,carpet area,"hubtown sunmist, chakala",mumbai,semi-furnished,family,2,contact agent,,6360088226,4,15.0
2022-06-15,3,330000,1500,carpet area,"indiabulls blu, worli",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,20,41.0
2022-07-09,3,65000,1050,carpet area,"alpine, kandivali east",mumbai,unfurnished,bachelors,3,contact agent,,6360088226,3,62.0
2022-07-06,3,85000,920,carpet area,ghatkopar east,mumbai,unfurnished,family,3,contact agent,,6360088226,4,13.0
2022-07-07,1,40000,450,carpet area,"ajmera bhakti park, bhakti park",mumbai,semi-furnished,bachelors/family,1,contact agent,,6360088226,8,13.0
2022-07-07,1,23000,440,carpet area,in kandivali west,mumbai,semi-furnished,bachelors,1,contact agent,,6360088226,0,4.0
2022-05-10,3,55000,932,super area,ghatkopar west,mumbai,unfurnished,bachelors/family,3,contact owner,,6360088226,3,8.0
2022-04-27,1,15000,270,carpet area,chakala andheri east,mumbai,unfurnished,bachelors,2,contact owner,,6360088226,15,15.0
2022-06-30,1,52000,379,carpet area,"hiranandani regent hill, powai",mumbai,semi-furnished,bachelors,2,contact agent,,6360088226,23,23.0
2022-05-26,2,13000,582,carpet area,lodha casa rio,mumbai,furnished,family,2,contact owner,,6360088226,5,8.0
2022-06-28,2,95000,800,carpet area,"pali hill apartment, pali hill",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,6,8.0
2022-07-06,1,25000,444,carpet area,"srishti solitaire, bhandup industrial estate",mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,7,17.0
2022-06-04,1,21000,428,carpet area,"godrej tranquil, lokhandwala twp",mumbai,unfurnished,bachelors/family,1,contact agent,,6360088226,12,21.0
2022-06-27,5,360000,1880,carpet area,"runwal elegante, andheri west",mumbai,furnished,family,4,contact agent,,6360088226,11,27.0
2022-07-06,2,60000,888,carpet area,"shapoorji pallonji vicinia, chandivali",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,5,20.0
2022-05-31,1,19000,490,super area,bhandup east,mumbai,unfurnished,bachelors/family,1,contact owner,,6360088226,0,8.0
2022-06-16,3,140000,937,carpet area,"sheth beaumonte, sion koliwada",mumbai,unfurnished,family,4,contact agent,,6360088226,28,39.0
2022-05-13,2,30000,710,carpet area,"gokul gagan, thakur village, kandivali east",mumbai,unfurnished,family,2,contact agent,,6360088226,12,21.0
2022-05-18,4,130000,1617,carpet area,"auris serenity, kanch pada",mumbai,semi-furnished,bachelors/family,5,contact agent,,6360088226,15,58.0
2022-05-24,2,80000,836,carpet area,"tata falcon crest, parel",mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,6,23.0
2022-07-06,2,85000,1200,carpet area,"crescent bay t3, bhoiwada",mumbai,semi-furnished,bachelors/family,3,contact agent,,6360088226,36,45.0
2022-07-07,2,65000,950,carpet area,"vishnu shivam tower, thakur village, kandivali east",mumbai,furnished,bachelors/family,2,contact agent,,6360088226,9,28.0
2022-07-09,1,33000,460,carpet area,"conwood astoria, goregaon east",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,10,25.0
2022-07-09,1,36000,585,super area,"odyssey bhakti park, bhakti park",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,10,14.0
2022-06-12,2,22000,550,carpet area,"salasar garden, beverly park",mumbai,furnished,family,2,contact agent,,6360088226,2,7.0
2022-06-16,1,17000,375,carpet area,"royal palms diamond isle phase ii, aarey milk colony",mumbai,unfurnished,bachelors/family,1,contact agent,,6360088226,9,20.0
2022-06-03,2,55000,700,carpet area,"raj legacy, vikhroli west",mumbai,furnished,bachelors/family,2,contact agent,,6360088226,10,20.0
2022-07-09,2,66000,750,carpet area,"sundar nagar, kalina",mumbai,unfurnished,family,2,contact agent,,6360088226,2,8.0
2022-07-09,4,140000,2000,carpet area,"db woods, gokuldham",mumbai,furnished,family,4,contact agent,,6360088226,6,45.0
2022-07-06,4,260000,2046,carpet area,"oberoi esquire, goregaon east",mumbai,semi-furnished,bachelors/family,5,contact agent,,6360088226,22,52.0
2022-06-28,2,32000,750,super area,"shree sai usha complex, bhandup west",mumbai,semi-furnished,bachelors/family,2,contact owner,,6360088226,3,7.0
2022-06-27,2,45000,730,carpet area,"raheja heights, malad east",mumbai,unfurnished,family,2,contact agent,,6360088226,5,17.0
2022-05-17,2,50000,750,carpet area,"hillcrest, andheri east",mumbai,semi-furnished,bachelors/family,2,contact agent,,6360088226,10,20.0
2022-04-29,1,18500,229,super area,vile parle,mumbai,semi-furnished,bachelors/family,1,contact owner,,6360088226,5,9.0
2022-06-29,2,51000,910,carpet area,"rivali park, borivali east",mumbai,unfurnished,bachelors,2,contact agent,,6360088226,10,19.0
2022-06-04,4,140000,1648,carpet area,"sheth auris serinity, malad west",mumbai,semi-furnished,bachelors/family,5,contact agent,,6360088226,21,58.0
2022-07-09,3,80000,1100,carpet area,"alpine shapoorji pallonji, thakur village, kandivali east",mumbai,unfurnished,family,3,contact agent,,6360088226,48,54.0
2022-06-26,1,30000,560,carpet area,ghatkopar east,mumbai,unfurnished,bachelors,2,contact agent,,6360088226,2,4.0
2022-06-30,2,85000,850,carpet area,andheri west,mumbai,unfurnished,bachelors/family,2,contact agent,,6360088226,4,6.0
